id,seed1,seed2,comparison_type,jaccard_similarity,spearman_correlation,kendall_tau
1027,3279,83811,lime_top5_names,0.6666666666666666,0.7142857142857143,0.6
1027,3279,97197,lime_top5_names,0.6666666666666666,0.8857142857142858,0.7333333333333333
1027,14593,83811,lime_top5_names,0.6666666666666666,0.8285714285714287,0.7333333333333333
1027,14593,97197,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
1027,83811,97197,lime_top5_names,0.6666666666666666,0.8285714285714287,0.7333333333333333
1027,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1027,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1027,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1027,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1027,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1027,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1186,3279,14593,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
1186,3279,83811,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
1186,3279,97197,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
1186,14593,83811,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
1186,14593,97197,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
1186,83811,97197,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
1186,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1186,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1186,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1186,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1186,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1186,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1290,3279,14593,lime_top5_names,1.0,0.09999999999999999,0.0
1290,3279,83811,lime_top5_names,1.0,0.19999999999999998,0.19999999999999998
1290,3279,97197,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
1290,14593,83811,lime_top5_names,1.0,0.09999999999999999,0.0
1290,14593,97197,lime_top5_names,1.0,0.3,0.19999999999999998
1290,83811,97197,lime_top5_names,1.0,-0.09999999999999999,0.0
1290,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1290,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1290,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1290,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1290,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1290,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1482,3279,14593,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
1482,3279,83811,lime_top5_names,1.0,0.3,0.19999999999999998
1482,3279,97197,lime_top5_names,0.6666666666666666,0.8857142857142858,0.7333333333333333
1482,14593,83811,lime_top5_names,1.0,0.39999999999999997,0.39999999999999997
1482,14593,97197,lime_top5_names,0.6666666666666666,0.7714285714285715,0.6
1482,83811,97197,lime_top5_names,0.6666666666666666,0.6,0.4666666666666666
1482,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1482,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1482,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1482,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1482,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1482,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1488,3279,14593,lime_top5_names,1.0,0.9999999999999999,0.9999999999999999
1488,3279,83811,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
1488,3279,97197,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
1488,14593,83811,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
1488,14593,97197,lime_top5_names,1.0,0.8999999999999998,0.7999999999999999
1488,83811,97197,lime_top5_names,0.6666666666666666,0.8857142857142858,0.7333333333333333
1488,3279,14593,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1488,3279,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1488,3279,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1488,14593,83811,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1488,14593,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1488,83811,97197,shap_top5_names,1.0,0.9999999999999999,0.9999999999999999
1993,3279,14593,lime_top5_names,0.6666666666666666,0.942857142857143,0.8666666666666666
